"Коэффициент заполнения ШИМ","Теоретическое напряжение","Реальное напряжение"
0.265,5.3,12.79
0.266,5.32,12.82
0.267,5.34,12.83
0.268,5.36,12.84
0.269,5.38,12.85
0.27,5.4,12.87
0.271,5.42,12.88
0.272,5.44,12.89
0.273,5.46,12.9
0.274,5.48,12.92
0.275,5.5,12.93
0.276,5.52,12.94
0.277,5.54,12.96
0.278,5.56,12.97
0.279,5.58,12.97
0.28,5.6,12.99
0.281,5.62,13
